clsprty,stfeco,gndr,agea,edulvlb,
2,1,1,66,323,
2,1,2,37,720,
2,5,2,64,313,
1,2,1,82,720,
1,3,1,52,323,
1,0,2,66,323,
2,7,1,19,313,
2,88,1,75,323,
2,6,1,56,313,
1,4,2,62,213,
1,4,2,60,213,
8,3,2,48,323,
1,5,1,62,213,
2,6,2,80,113,
2,88,1,44,323,
1,3,2,59,323,
2,2,1,34,720,
1,1,2,60,720,
2,2,2,55,620,
1,0,2,43,610,
2,3,2,54,313,
2,2,1,38,720,
1,0,2,70,213,
1,0,2,71,323,
2,4,1,74,323,
2,5,1,46,213,
1,5,1,82,720,
2,3,1,57,323,
2,0,1,57,323,
1,0,1,54,222,
1,2,1,50,720,
2,4,2,49,620,
2,5,2,69,0,
2,2,2,44,323,
1,1,1,60,323,
7,4,2,42,323,
1,3,2,82,113,
1,3,2,21,313,
1,7,1,69,323,
2,4,2,66,421,
2,5,1,44,213,
2,2,2,30,213,
1,1,2,63,323,
2,0,2,66,323,
1,3,1,32,313,
2,2,2,69,313,
2,5,1,37,313,
8,88,2,21,213,
8,2,2,53,313,
2,4,2,47,313,
7,88,2,67,222,
1,0,1,72,313,
2,1,2,48,620,
1,1,2,59,323,
1,1,2,67,323,
1,6,2,68,313,
2,88,1,16,213,
2,5,2,78,222,
1,1,1,59,213,
1,6,2,54,720,
2,4,1,23,620,
2,88,2,66,323,
2,0,1,27,213,
2,1,2,41,323,
1,6,1,22,313,
7,77,2,15,113,
2,1,1,47,213,
2,4,1,64,313,
7,5,2,43,620,
7,2,2,50,313,
2,1,2,88,213,
1,2,2,30,323,
2,88,1,26,313,
2,2,2,36,323,
1,5,2,21,313,
2,5,2,15,213,
7,0,2,75,213,
1,4,2,64,113,
1,5,1,69,323,
7,0,2,48,720,
7,4,1,49,323,
1,4,1,20,313,
1,3,2,68,313,
2,3,2,28,313,
2,4,1,55,323,
2,2,1,30,213,
2,4,1,70,213,
1,3,2,64,229,
2,1,2,54,323,
1,3,1,65,720,
7,4,2,71,323,
1,6,2,20,313,
7,2,1,54,313,
2,88,1,34,323,
1,88,2,73,213,
2,88,2,79,222,
2,5,1,17,213,
2,7,1,44,323,
1,3,2,66,313,
2,5,2,44,720,
1,2,2,58,213,
1,4,1,30,313,
2,6,2,46,313,
1,7,2,52,313,
1,88,2,54,323,
2,3,1,39,213,
2,4,2,57,720,
1,3,2,58,313,
1,0,2,72,213,
1,5,2,60,213,
2,2,2,58,720,
2,1,2,76,0,
2,1,2,90,113,
2,88,2,33,313,
2,3,2,61,323,
1,2,2,64,313,
2,2,2,66,610,
8,10,2,77,213,
1,3,2,77,113,
2,1,1,62,323,
1,3,2,53,323,
2,3,1,41,313,
1,5,2,71,323,
2,88,2,57,113,
1,5,2,52,720,
1,10,2,74,0,
1,5,2,77,720,
1,5,1,32,323,
2,0,2,85,113,
2,2,2,50,323,
2,3,2,30,313,
1,1,2,36,213,
1,4,2,64,213,
2,4,1,51,620,
1,5,2,58,113,
2,5,2,69,313,
2,3,1,37,720,
1,0,1,81,213,
2,6,2,51,323,
8,5,1,18,213,
1,3,2,55,720,
1,2,2,71,720,
2,2,2,61,720,
1,88,2,72,213,
2,0,2,79,213,
2,2,1,40,313,
2,4,1,61,323,
2,0,2,67,323,
2,6,2,68,610,
7,8,1,26,620,
2,1,1,55,610,
1,6,1,60,229,
2,3,1,84,313,
1,4,2,87,213,
2,2,2,20,313,
2,5,1,44,323,
2,4,1,79,720,
2,4,1,73,213,
2,1,1,39,323,
2,3,1,51,313,
2,1,2,67,213,
2,3,2,26,213,
2,3,2,24,720,
8,2,1,50,720,
2,2,2,66,323,
2,2,2,57,323,
1,7,2,33,421,
1,3,1,58,323,
1,3,1,38,323,
2,5,2,20,313,
2,4,2,84,323,
2,88,1,24,313,
2,3,2,41,222,
2,2,2,47,323,
1,4,2,81,610,
2,4,2,69,313,
1,4,1,65,720,
2,3,2,63,610,
1,88,1,59,213,
2,2,1,56,720,
2,5,2,52,323,
1,5,1,77,229,
1,7,2,38,323,
1,4,1,71,323,
2,0,2,60,620,
1,4,1,66,720,
2,88,2,80,720,
1,3,2,33,213,
1,3,2,58,720,
1,2,2,62,323,
1,5,1,56,323,
1,2,1,68,720,
7,4,1,58,313,
1,5,1,70,323,
1,6,2,73,720,
8,88,2,45,113,
2,5,2,70,213,
1,2,1,51,323,
7,0,1,34,323,
1,88,2,75,610,
2,1,2,60,323,
1,3,2,50,323,
2,4,1,69,213,
2,4,2,88,213,
2,3,1,61,323,
2,5,2,46,323,
1,1,1,57,313,
2,7,1,15,213,
7,88,1,49,323,
2,2,2,17,213,
2,3,1,21,313,
1,5,2,73,213,
2,2,1,57,323,
2,88,1,65,213,
2,6,2,43,323,
2,88,2,15,213,
8,0,1,42,610,
2,5,2,59,313,
1,2,2,57,620,
7,88,1,59,323,
2,2,2,52,213,
2,7,1,45,720,
1,2,2,65,323,
2,0,2,67,213,
2,3,1,67,213,
1,2,2,79,610,
1,0,2,51,222,
2,2,2,45,313,
8,88,2,79,113,
2,2,1,50,313,
2,88,2,78,229,
2,88,2,73,113,
2,1,1,62,421,
1,0,2,63,113,
2,5,2,57,421,
7,3,2,30,323,
2,88,2,17,222,
1,6,2,39,323,
1,2,1,70,323,
2,3,1,80,323,
2,6,1,59,720,
8,5,2,63,323,
2,3,2,63,323,
1,0,2,72,610,
2,3,2,50,620,
2,0,2,66,323,
7,3,2,17,213,
1,3,2,76,323,
2,2,1,47,323,
1,0,1,24,620,
1,2,2,81,720,
1,4,1,60,213,
2,1,1,63,323,
2,1,2,53,720,
2,88,2,17,229,
2,2,2,42,323,
1,0,2,81,213,
2,2,1,45,222,
7,1,1,25,323,
2,10,1,21,323,
2,3,2,70,323,
1,5,1,75,720,
2,88,2,15,213,
2,3,2,70,610,
1,7,1,57,323,
1,88,2,46,323,
2,1,1,54,323,
1,5,2,71,421,
1,6,1,46,323,
1,3,1,60,323,
1,5,2,41,720,
2,1,2,64,421,
1,2,2,33,222,
7,88,1,61,213,
7,3,1,74,323,
2,0,1,90,720,
2,5,2,45,323,
7,88,2,75,0,
2,5,1,74,313,
1,5,2,39,323,
2,5,2,27,113,
2,6,1,53,323,
1,4,1,82,0,
2,0,2,44,213,
2,2,2,84,113,
2,2,2,47,323,
1,5,2,22,313,
2,6,1,15,113,
2,4,2,19,313,
1,4,2,34,323,
2,1,1,50,323,
1,3,2,61,313,
1,0,2,66,323,
2,4,2,16,222,
2,1,2,40,313,
2,0,2,72,313,
2,1,1,60,720,
2,4,2,53,620,
1,3,2,65,323,
1,3,2,35,610,
2,88,2,57,113,
1,0,2,85,113,
1,4,2,47,720,
1,6,1,82,720,
2,5,1,69,113,
2,4,1,18,213,
1,4,1,46,720,
1,4,2,47,720,
2,4,1,52,323,
2,4,1,20,323,
2,1,2,62,213,
2,6,2,88,213,
1,1,1,39,323,
1,5,2,45,720,
1,5,1,59,720,
2,1,1,66,323,
2,1,2,77,113,
2,0,1,73,229,
1,88,2,72,213,
2,88,2,82,113,
2,2,2,60,313,
1,88,2,42,213,
1,4,2,58,213,
1,3,1,78,421,
7,88,1,52,323,
1,3,2,52,720,
2,5,1,60,213,
2,5,1,56,323,
1,5,2,66,213,
2,2,2,30,0,
2,88,2,87,213,
2,4,1,79,222,
1,6,1,50,800,
2,88,2,51,213,
2,4,1,64,323,
1,2,1,62,720,
2,2,1,30,323,
2,3,2,60,323,
2,0,1,73,113,
2,3,2,64,620,
2,0,2,32,313,
2,5,2,48,720,
2,1,2,49,313,
7,4,2,60,610,
1,5,2,46,213,
2,0,2,70,213,
2,4,1,21,213,
2,8,1,76,229,
2,4,2,68,610,
7,0,2,48,323,
2,5,2,26,313,
1,4,1,51,323,
1,4,2,54,323,
1,0,2,70,323,
1,2,2,63,323,
2,5,1,58,323,
2,1,2,88,313,
2,5,1,43,323,
2,4,1,33,323,
1,3,1,37,213,
1,5,2,56,323,
1,1,2,72,323,
2,2,2,29,313,
7,6,1,53,720,
2,1,2,82,213,
1,0,2,60,313,
2,5,1,75,213,
1,0,1,63,213,
1,88,1,60,323,
2,88,2,86,213,
8,6,2,17,213,
1,6,1,72,213,
1,0,1,68,323,
2,0,1,18,113,
8,6,2,79,313,
2,3,2,79,313,
2,4,1,68,213,
2,4,2,49,313,
1,0,1,29,323,
1,7,1,36,213,
2,3,1,29,323,
2,88,1,23,323,
2,1,2,62,323,
2,1,1,41,313,
1,0,2,84,213,
1,7,1,32,620,
7,0,1,64,323,
1,1,2,34,213,
1,4,1,44,620,
2,4,2,54,323,
2,0,1,75,421,
1,2,2,63,323,
1,3,1,68,323,
2,5,2,39,720,
2,3,2,43,313,
7,3,1,47,323,
7,1,1,73,323,
2,2,1,27,213,
2,9,2,44,323,
2,5,2,67,313,
2,3,2,59,213,
2,0,2,60,113,
1,3,1,84,213,
2,5,1,41,0,
1,0,2,59,323,
2,0,2,37,0,
1,5,2,66,610,
2,88,2,73,213,
1,4,1,49,323,
2,2,1,45,620,
1,88,2,62,213,
1,7,1,49,323,
2,1,1,26,421,
1,5,1,78,313,
1,5,1,66,323,
2,0,2,50,610,
7,0,1,46,720,
2,0,1,70,323,
2,6,2,34,620,
2,2,1,66,323,
1,2,1,23,313,
1,6,2,66,720,
2,0,1,65,222,
7,5,1,84,610,
1,1,1,25,323,
1,1,2,73,720,
2,88,2,71,720,
2,3,2,68,313,
2,4,1,45,213,
2,4,2,74,213,
2,88,1,23,323,
2,5,1,58,323,
1,5,2,51,720,
2,3,2,29,323,
1,6,1,66,313,
1,5,2,48,720,
2,88,1,17,113,
1,5,1,49,323,
2,4,1,55,213,
8,88,2,16,213,
2,3,2,48,720,
1,2,1,64,323,
2,5,2,25,323,
7,4,1,71,323,
2,2,2,41,313,
7,3,1,35,323,
2,5,1,72,113,
1,6,1,65,323,
2,2,2,62,313,
1,3,2,55,720,
2,0,2,59,313,
7,5,1,26,720,
1,3,2,28,213,
2,3,1,30,323,
2,88,1,15,213,
2,4,2,36,313,
2,3,1,49,620,
1,4,2,73,610,
2,4,2,55,620,
1,4,2,82,323,
1,2,2,32,620,
2,5,2,60,323,
1,5,1,80,323,
2,3,1,47,323,
2,4,1,43,323,
1,1,1,65,313,
1,4,1,59,313,
1,4,1,78,213,
2,4,1,51,323,
2,0,2,49,720,
2,1,2,46,323,
7,5,1,42,720,
2,2,1,45,313,
2,6,1,37,323,
8,0,2,51,323,
2,2,2,60,313,
2,2,1,58,610,
1,6,1,63,421,
2,5,2,43,313,
2,0,1,19,323,
2,3,1,51,720,
1,2,2,71,720,
1,2,2,66,323,
2,6,2,65,323,
2,1,2,56,313,
1,5,1,43,213,
1,4,2,59,720,
2,3,2,62,213,
1,2,1,45,323,
8,1,2,18,222,
2,3,2,33,323,
1,1,2,81,113,
2,0,2,64,323,
2,5,2,32,620,
2,3,2,62,213,
1,0,1,18,213,
1,3,1,83,610,
1,88,1,20,313,
2,4,2,49,720,
2,4,1,15,213,
2,4,2,52,313,
1,2,1,67,229,
1,0,1,50,323,
2,5,1,22,313,
2,3,1,36,720,
2,1,1,69,323,
2,5,2,30,313,
2,2,1,51,113,
2,4,2,81,720,
2,3,2,59,720,
2,0,2,49,113,
1,7,1,49,720,
2,4,2,40,222,
1,3,1,53,313,
1,2,2,65,313,
1,4,2,70,313,
1,4,2,37,323,
2,3,2,68,323,
1,6,2,67,323,
1,1,2,74,323,
1,5,2,35,213,
2,1,2,67,323,
1,1,1,53,720,
1,6,1,64,610,
1,1,1,58,323,
7,3,2,55,720,
1,4,2,66,323,
2,4,1,54,113,
1,3,1,68,323,
2,1,1,68,323,
1,1,2,61,720,
1,2,1,79,213,
2,6,2,70,800,
7,2,2,53,213,
2,1,1,43,323,
1,6,2,21,313,
2,5,2,68,610,
1,2,2,76,620,
1,0,2,74,720,
2,5,2,50,323,
7,4,2,63,323,
2,3,1,47,213,
2,5,1,27,313,
8,5,1,23,313,
2,2,1,24,323,
1,6,2,75,323,
1,88,1,65,323,
1,2,2,78,323,
2,6,1,50,323,
2,9,2,43,323,
2,1,1,51,323,
1,3,1,67,313,
7,0,1,71,213,
2,0,1,67,213,
1,88,1,50,323,
1,5,2,47,720,
1,2,1,80,113,
7,4,2,75,213,
2,3,1,46,323,
2,88,2,80,0,
1,2,1,76,323,
2,4,2,73,213,
2,0,1,34,0,
7,88,1,15,213,
2,0,2,21,313,
1,2,1,43,323,
2,1,1,53,323,
2,5,1,58,323,
1,5,2,50,323,
1,5,1,24,313,
1,2,1,40,213,
2,0,1,29,323,
1,88,2,36,222,
2,6,1,49,213,
2,2,2,79,213,
2,4,2,74,213,
2,4,1,58,323,
2,5,1,42,323,
2,3,1,44,720,
2,6,1,52,113,
1,5,2,33,323,
2,2,2,67,313,
1,5,1,49,323,
2,0,2,49,222,
2,4,2,52,313,
1,0,2,53,720,
1,3,1,69,323,
2,88,2,41,213,
2,0,1,71,213,
1,5,1,64,323,
1,2,2,64,213,
2,3,2,20,213,
2,5,2,54,323,
1,1,2,67,213,
1,4,2,71,323,
2,4,2,55,610,
1,2,1,67,222,
1,5,1,49,313,
1,6,1,75,323,
2,7,1,63,610,
2,4,1,51,113,
1,5,2,73,313,
1,88,2,61,323,
8,88,2,21,0,
1,4,1,64,323,
2,3,1,46,323,
1,2,1,47,323,
1,5,1,53,323,
2,1,1,78,0,
2,7,2,23,323,
2,88,1,69,113,
8,3,1,37,720,
2,88,2,83,113,
2,2,2,60,720,
1,3,2,75,720,
1,88,2,77,313,
2,0,2,56,323,
7,0,1,41,720,
1,0,2,52,323,
1,3,1,47,720,
2,1,1,57,323,
1,4,1,57,213,
2,2,1,51,323,
1,88,2,64,213,
1,5,2,69,213,
1,6,2,64,323,
2,2,2,46,113,
2,5,2,45,720,
8,88,1,16,222,
2,3,1,75,720,
2,3,1,49,313,
1,88,2,87,213,
7,7,1,59,313,
7,88,1,15,222,
1,0,1,43,313,
1,4,1,58,620,
2,4,1,77,323,
1,6,1,37,720,
2,3,2,41,313,
1,4,2,26,610,
1,7,2,71,323,
1,4,2,70,323,
2,0,1,48,620,
2,1,1,64,7777,
2,5,2,84,213,
2,0,2,52,323,
2,5,1,49,421,
2,88,2,48,213,
1,2,2,67,313,
1,5,2,50,720,
2,5,2,15,213,
8,3,1,58,323,
2,2,2,45,113,
1,88,1,72,323,
1,0,2,65,620,
1,8,2,59,421,
1,3,2,68,421,
1,6,2,76,610,
7,88,1,25,313,
2,88,2,46,213,
8,0,1,59,323,
1,5,2,68,313,
2,1,2,999,323,
2,0,1,30,323,
1,5,1,31,620,
2,3,2,21,213,
1,4,2,40,213,
1,3,1,64,213,
2,2,2,40,323,
8,88,2,84,113,
2,3,2,58,313,
2,1,1,53,323,
8,5,1,75,323,
1,6,2,67,323,
2,5,1,39,229,
1,7,2,67,312,
1,8,2,37,610,
2,10,1,31,720,
2,6,1,90,113,
1,6,1,38,421,
2,10,1,19,313,
2,7,2,28,610,
1,6,1,35,710,
2,9,2,47,322,
2,7,1,43,423,
1,6,2,25,610,
2,9,2,40,322,
2,9,1,56,720,
1,9,2,40,313,
2,4,2,56,213,
1,10,2,34,720,
2,8,2,21,313,
2,5,1,56,229,
1,8,1,50,229,
2,7,2,21,322,
1,8,2,70,520,
1,6,2,79,229,
2,8,1,34,322,
2,7,2,44,322,
1,10,1,72,213,
1,7,2,75,322,
1,9,2,47,800,
2,7,2,24,322,
1,8,2,73,520,
1,10,2,76,213,
2,7,1,16,213,
1,9,1,73,520,
2,88,1,18,213,
1,8,2,53,720,
2,6,2,35,620,
1,8,1,50,213,
1,8,2,27,322,
2,7,2,23,322,
2,8,2,73,520,
1,7,1,67,520,
8,88,2,50,322,
1,6,1,18,213,
2,7,1,58,610,
2,6,2,29,229,
1,8,2,56,520,
1,9,2,57,520,
2,8,1,18,213,
1,7,1,55,800,
1,9,1,20,322,
1,8,1,72,213,
1,6,1,55,520,
2,5,2,28,212,
1,8,2,68,312,
1,5,2,75,229,
1,9,1,70,322,
1,6,1,29,322,
2,8,1,38,213,
2,8,2,35,720,
1,7,1,78,720,
2,9,1,58,322,
2,5,2,35,322,
1,8,2,60,421,
2,8,1,47,322,
1,7,1,47,322,
2,7,2,17,213,
1,5,2,999,229,
2,7,1,47,212,
1,9,2,43,520,
2,8,1,36,510,
2,9,1,45,313,
2,8,1,22,322,
1,7,2,53,229,
1,6,2,68,710,
2,8,1,45,520,
2,9,2,33,620,
1,9,2,20,313,
2,8,1,35,322,
2,8,1,51,229,
1,8,2,81,520,
2,6,2,46,610,
2,10,2,20,313,
1,9,1,66,322,
2,10,1,62,313,
2,6,1,90,520,
2,5,2,65,322,
1,7,2,66,322,
1,8,1,37,520,
2,8,2,50,322,
1,9,1,61,520,
1,8,2,60,800,
1,7,1,60,520,
1,10,2,19,322,
2,8,1,41,720,
2,7,1,36,322,
2,8,2,29,322,
2,88,2,26,213,
2,10,1,33,610,
1,8,2,52,720,
2,10,2,51,421,
1,6,1,73,322,
1,9,2,77,113,
2,5,2,41,322,
2,10,2,15,113,
1,5,2,21,312,
2,8,1,73,213,
2,8,1,66,113,
2,4,1,26,322,
1,8,2,64,322,
2,9,1,56,322,
2,8,1,71,312,
2,7,1,58,720,
1,8,1,66,322,
1,8,2,31,520,
1,8,1,28,720,
2,9,1,39,710,
1,77,1,44,322,
2,2,1,69,620,
1,7,1,22,322,
8,8,2,80,322,
2,8,1,59,421,
2,8,2,51,229,
1,6,2,60,520,
1,8,1,57,520,
2,5,2,31,322,
2,10,1,33,520,
2,5,2,23,322,
2,9,2,64,213,
2,8,2,64,322,
1,8,1,68,520,
1,10,1,43,322,
1,8,2,22,422,
1,8,2,41,322,
1,8,2,59,322,
2,6,2,31,720,
2,8,1,54,213,
1,7,1,38,322,
1,8,1,61,800,
1,8,1,79,520,
2,5,1,62,520,
1,8,2,29,610,
2,8,1,35,720,
2,7,1,70,520,
2,0,2,61,322,
1,9,1,48,800,
1,8,1,80,213,
2,88,2,19,322,
1,7,2,61,322,
1,7,2,75,213,
1,8,2,25,322,
2,8,1,16,213,
1,8,1,44,610,
1,8,1,83,520,
1,7,1,33,710,
2,4,2,25,620,
1,7,1,81,322,
1,6,2,38,710,
1,9,1,58,312,
1,9,1,51,421,
2,7,2,88,113,
1,6,2,15,113,
1,8,1,15,213,
2,8,2,61,213,
2,10,1,48,229,
2,7,2,16,213,
1,8,1,76,322,
1,1,2,51,213,
1,8,1,43,322,
1,4,2,35,710,
1,9,1,50,710,
1,7,2,63,322,
2,10,2,35,213,
1,4,2,32,520,
1,8,2,62,520,
1,5,2,74,213,
1,8,2,49,520,
2,9,2,16,213,
2,8,1,54,610,
1,7,1,33,620,
1,8,1,61,313,
1,10,2,47,720,
2,10,2,33,421,
2,7,1,27,229,
1,7,2,45,322,
2,7,2,25,312,
1,5,2,65,322,
1,6,2,25,312,
1,8,2,80,322,
2,8,1,46,323,
1,8,2,65,322,
2,5,2,87,322,
1,8,1,63,720,
1,8,2,67,720,
1,8,1,45,322,
1,9,1,53,720,
1,7,2,60,322,
1,9,1,56,710,
2,9,1,38,322,
1,8,2,48,313,
2,8,2,42,610,
2,88,2,17,213,
1,8,2,46,610,
2,7,1,999,212,
2,9,1,43,520,
2,9,1,20,313,
2,9,2,49,212,
1,88,2,43,322,
1,6,2,51,520,
1,8,2,75,520,
2,8,1,28,322,
1,9,1,32,800,
2,88,2,27,610,
2,8,1,34,520,
2,9,2,36,620,
1,8,1,53,520,
1,7,2,45,322,
1,10,2,62,421,
8,5,1,32,720,
2,7,2,37,720,
1,7,1,45,322,
1,9,1,58,322,
1,6,2,58,322,
2,5,2,39,229,
1,7,2,53,423,
1,10,1,79,322,
1,8,1,38,710,
2,88,1,17,213,
2,5,2,46,322,
1,8,2,73,213,
2,9,2,32,229,
8,8,1,49,229,
2,8,2,48,229,
8,7,2,33,520,
1,8,1,60,720,
2,10,1,50,212,
2,88,2,35,322,
2,8,1,34,520,
1,8,1,33,313,
2,6,1,42,520,
1,7,2,28,322,
1,2,2,84,213,
2,9,2,21,322,
1,7,2,77,313,
2,7,1,68,322,
1,8,1,38,229,
1,8,1,24,322,
2,5,2,57,229,
1,8,2,50,520,
2,8,2,56,710,
1,10,2,26,520,
1,7,1,25,322,
8,8,1,25,229,
1,8,1,58,322,
1,8,1,34,710,
1,8,1,33,322,
1,9,2,69,229,
2,7,2,47,322,
1,8,1,71,312,
2,7,1,36,322,
2,8,2,90,213,
2,7,2,40,322,
1,8,1,72,520,
1,6,1,50,620,
1,8,1,53,520,
1,1,1,48,720,
1,8,1,23,313,
1,88,2,78,520,
2,8,1,46,323,
2,0,2,80,322,
1,8,1,70,520,
1,7,2,68,421,
1,7,1,74,322,
2,4,1,60,322,
1,8,2,61,322,
2,7,2,25,322,
2,6,1,25,610,
2,7,1,48,510,
7,9,2,31,212,
1,10,2,58,322,
2,4,1,24,322,
1,9,2,17,212,
1,7,2,28,610,
1,8,1,73,229,
2,8,2,34,423,
2,7,1,84,322,
2,7,2,22,610,
2,9,1,17,313,
1,8,1,44,720,
1,9,1,76,520,
1,8,1,39,610,
2,5,2,15,213,
2,10,1,32,520,
2,8,1,57,520,
2,7,2,30,212,
1,7,2,26,610,
1,4,2,61,322,
2,10,2,59,323,
2,7,2,20,312,
1,6,2,18,213,
8,88,2,41,212,
1,7,1,47,710,
2,8,2,33,610,
1,7,1,76,800,
2,8,1,53,520,
1,1,1,60,421,
1,7,2,49,312,
1,6,1,52,322,
1,7,2,52,610,
2,8,1,52,322,
1,7,2,24,520,
2,9,1,39,720,
1,8,1,29,520,
1,9,2,37,322,
2,6,2,25,610,
1,8,2,52,610,
2,88,2,17,322,
1,5,2,85,322,
1,8,2,62,0,
1,5,2,41,720,
2,8,1,86,322,
2,5,2,52,213,
2,10,2,37,213,
1,10,2,69,421,
2,8,2,78,5555,
1,6,2,65,421,
1,8,1,66,322,
2,5,2,70,213,
1,8,1,56,620,
2,8,1,20,313,
1,3,1,45,322,
2,8,1,45,213,
2,4,2,48,212,
2,7,2,59,322,
2,6,2,23,620,
1,8,1,51,520,
1,10,2,69,710,
8,8,1,43,800,
1,6,1,47,322,
1,7,1,39,322,
2,8,2,57,213,
1,9,2,35,229,
2,8,1,61,322,
1,7,2,47,322,
1,7,2,45,620,
2,7,1,30,610,
1,6,1,29,313,
8,6,2,22,322,
2,7,2,53,212,
2,10,1,35,322,
1,9,2,69,322,
1,9,1,73,800,
2,9,2,45,313,
1,8,1,59,710,
1,7,1,61,322,
1,6,2,67,229,
2,7,2,61,322,
2,5,2,40,520,
2,7,2,37,322,
2,6,1,45,520,
1,8,1,60,322,
2,6,1,43,720,
1,4,2,22,313,
2,7,2,63,229,
2,7,2,42,213,
2,7,1,79,213,
2,6,2,19,213,
1,10,2,83,229,
1,9,1,72,421,
2,8,1,67,520,
1,9,1,54,322,
2,7,2,59,610,
1,9,2,68,229,
1,4,1,999,312,
2,5,2,82,212,
2,88,1,24,212,
1,6,2,74,322,
2,2,1,19,213,
2,8,2,48,510,
1,9,2,35,322,
8,8,1,35,720,
1,6,1,83,322,
1,8,2,82,212,
2,2,2,64,213,
1,6,1,53,520,
1,9,1,77,322,
2,8,1,77,520,
1,8,1,50,520,
2,5,1,40,322,
1,6,2,60,213,
2,8,2,25,520,
1,9,1,59,312,
2,7,2,31,322,
1,9,2,46,800,
2,8,1,71,620,
1,8,2,87,229,
1,7,1,77,212,
1,8,2,32,720,
1,6,1,63,322,
2,7,1,36,229,
1,6,2,33,322,
1,9,1,37,520,
1,8,1,49,312,
2,6,2,58,322,
1,6,1,34,520,
1,8,1,80,113,
1,9,2,17,113,
1,7,2,55,322,
2,3,1,73,322,
1,8,2,49,322,
1,9,1,61,710,
2,10,2,40,213,
1,7,2,64,322,
2,8,2,57,800,
1,7,1,51,322,
1,8,1,61,322,
2,8,1,21,322,
1,8,1,63,800,
2,10,2,22,322,
2,7,2,18,213,
1,7,1,40,322,
1,6,2,47,510,
2,10,2,40,322,
1,8,2,43,322,
2,5,1,33,322,
2,10,1,51,710,
1,9,1,41,520,
2,7,1,31,720,
2,6,1,26,322,
1,8,2,71,229,
1,6,2,59,322,
2,10,2,46,322,
2,7,1,25,322,
2,10,2,25,620,
2,6,1,62,322,
1,6,2,68,620,
1,7,2,19,322,
1,4,1,81,520,
1,9,2,63,510,
2,10,2,52,213,
2,7,1,42,720,
2,3,1,38,212,
2,8,2,52,322,
2,6,1,46,212,
1,10,1,70,322,
1,9,1,59,520,
1,8,2,61,322,
1,7,1,38,720,
1,7,2,20,422,
2,4,2,50,520,
1,4,2,59,322,
1,9,2,56,720,
2,9,2,41,720,
2,8,1,63,520,
1,6,2,23,312,
1,10,1,64,520,
1,5,2,59,322,
2,8,1,61,421,
1,10,2,32,610,
1,5,1,24,322,
1,10,1,41,720,
2,4,1,18,213,
2,8,1,53,213,
2,6,1,46,312,
1,8,1,40,720,
1,8,2,20,322,
1,9,2,65,212,
2,7,2,26,322,
2,10,1,19,322,
2,2,2,24,313,
1,5,1,24,322,
1,5,2,999,610,
1,7,2,34,322,
1,9,2,50,322,
1,8,1,17,212,
1,8,1,19,213,
1,7,1,54,322,
2,7,2,75,213,
2,10,2,33,720,
2,7,2,41,710,
2,8,1,65,322,
1,3,2,46,322,
2,8,2,16,213,
1,7,1,64,610,
2,8,2,35,213,
2,7,1,73,322,
1,9,1,16,7777,
1,10,1,65,322,
1,8,1,53,620,
2,8,2,75,213,
1,7,1,50,610,
1,9,1,39,710,
1,8,1,44,510,
1,4,2,21,213,
2,7,1,70,313,
2,8,1,38,800,
1,7,1,82,322,
2,7,2,74,322,
2,7,1,40,520,
1,8,2,44,720,
1,7,2,42,520,
2,8,2,38,520,
2,7,1,53,229,
2,10,1,53,710,
2,8,2,51,710,
2,8,1,45,213,
2,9,1,62,720,
2,6,2,42,520,
1,7,1,71,620,
2,8,2,49,322,
2,7,1,37,322,
1,8,2,18,213,
1,10,2,33,610,
1,7,2,29,229,
2,6,2,86,113,
1,7,2,44,113,
2,8,1,71,520,
1,9,1,70,322,
1,7,1,67,421,
2,7,2,70,710,
1,7,2,63,213,
2,7,2,27,322,
1,10,1,18,313,
2,7,2,57,720,
2,8,1,57,322,
2,9,1,17,213,
2,6,2,35,710,
2,6,2,44,322,
2,6,2,16,213,
2,6,1,59,322,
1,7,1,27,322,
2,4,2,47,610,
1,8,2,45,322,
2,9,1,75,720,
1,5,1,69,520,
2,6,1,83,113,
1,0,2,19,229,
2,6,2,19,322,
2,7,2,16,213,
1,8,2,39,720,
1,5,1,67,213,
1,7,1,74,421,
1,3,2,999,213,
2,8,2,26,322,
1,9,2,74,421,
1,9,1,50,720,
1,9,1,19,510,
2,7,1,23,610,
2,7,1,39,322,
2,10,2,63,113,
2,8,2,29,520,
2,8,1,19,322,
2,10,2,21,322,
2,7,2,55,520,
1,8,1,63,720,
1,7,2,74,229,
2,5,2,63,229,
1,7,2,75,213,
2,8,2,65,213,
8,5,2,62,322,
1,8,1,48,800,
2,8,1,36,213,
2,9,1,16,0,
2,8,2,28,229,
2,8,2,45,620,
1,8,1,61,510,
1,7,2,61,322,
8,8,2,49,800,
1,6,1,43,720,
1,5,2,72,229,
1,10,1,55,520,
1,7,2,22,322,
2,5,2,34,520,
2,7,2,73,229,
2,10,2,68,421,
1,6,1,29,520,
1,8,1,44,520,
2,9,2,46,610,
1,8,1,46,322,
1,5,1,40,520,
1,6,1,42,322,
1,5,2,78,322,
1,10,2,72,322,
1,7,1,52,520,
2,10,2,52,520,
1,7,1,83,229,
1,9,1,54,520,
1,6,1,71,322,
1,6,2,66,322,
1,9,1,63,520,
2,6,2,36,520,
2,10,1,58,322,
2,8,2,19,213,
1,6,1,37,710,
1,7,2,23,710,
2,7,2,66,720,
2,8,2,15,213,
